v_ref (V),irrad (G),temp (C),current (A)
0.7,400.001,40.001,0.001
0.7,400.001,60.001,0.001
0.7,400.001,80.001,0.001
0.7,400.001,100.001,0.001
0.7,600.001,0.001,1.575
0.7,600.001,20.001,0.482
0.7,600.001,40.001,0.001
0.7,600.001,60.001,0.001
0.7,600.001,80.001,0.001
0.7,600.001,100.001,0.001
0.7,800.001,0.001,1.852
0.7,800.001,20.001,0.7
0.7,800.001,40.001,0.001
0.7,800.001,60.001,0.001
0.7,800.001,80.001,0.001
0.7,800.001,100.001,0.001
0.7,1000.001,0.001,2.065
0.7,1000.001,20.001,0.876
0.7,1000.001,40.001,0.001
0.7,1000.001,60.001,0.001
0.7,1000.001,80.001,0.001
0.7,1000.001,100.001,0.001
0.8,0.001,0.001,0.001
0.8,0.001,20.001,0.001
0.8,0.001,40.001,0.001
0.8,0.001,60.001,0.001
0.8,0.001,80.001,0.001
0.8,0.001,100.001,0.001
0.8,200.001,0.001,0.001
0.8,200.001,20.001,0.001
0.8,200.001,40.001,0.001
0.8,200.001,60.001,0.001
0.8,200.001,80.001,0.001
0.8,200.001,100.001,0.001
0.8,400.001,0.001,0.001
0.8,400.001,20.001,0.001
0.8,400.001,40.001,0.001
0.8,400.001,60.001,0.001
0.8,400.001,80.001,0.001
0.8,400.001,100.001,0.001
0.8,600.001,0.001,0.001
0.8,600.001,20.001,0.001
0.8,600.001,40.001,0.001
0.8,600.001,60.001,0.001
0.8,600.001,80.001,0.001
0.8,600.001,100.001,0.001
0.8,800.001,0.001,0.001
0.8,800.001,20.001,0.001
0.8,800.001,40.001,0.001
0.8,800.001,60.001,0.001
0.8,800.001,80.001,0.001
0.8,800.001,100.001,0.001
0.8,1000.001,0.001,0.001
0.8,1000.001,20.001,0.001
0.8,1000.001,40.001,0.001
0.8,1000.001,60.001,0.001
0.8,1000.001,80.001,0.001
0.8,1000.001,100.001,0.001
